,req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,post_id_manuf,sheet_metal_inserts,sheet_metal_weldings,sheet_metal_punching,employees_num,country,predBidProb,manufacturer_name
3,0,0,urgent,1,1,1,770,0,0,0,6-20,IL,0.10783274203325387,M.ash presicion mechanics
5,0,0,urgent,0,0,0,788,1,1,1,21-50,IL,0.27919669261396257,Zahavi steel ltd.
3,0,0,urgent,0,0,0,770,0,0,0,6-20,IL,0.23566391197990302,M.ash presicion mechanics
15,0,0,urgent,0,0,0,5011,0,0,0,6-20,IL,0.1726108384675858,YAAF
13,0,0,urgent,0,0,0,4753,1,1,0,6-20,IL,0.13804689502963693,Aloni engineering
19,0,0,urgent,0,0,0,15212,1,0,1,6-20,TR,0.11917386989274814,FGM TEKNİK
5,0,0,urgent,0,0,1,788,1,1,1,21-50,IL,0.45474829004768913,Zahavi steel ltd.
3,0,0,urgent,0,0,1,770,0,0,0,6-20,IL,0.3574733799787007,M.ash presicion mechanics
13,0,0,urgent,0,0,1,4753,1,1,0,6-20,IL,0.31123976407995946,Aloni engineering
11,0,0,urgent,0,0,1,2184,1,1,1,6-20,IL,0.11614741932115472,P.D.R ELECTRONICS
15,0,0,urgent,0,0,1,5011,0,0,0,6-20,IL,0.09693850331788159,YAAF
5,0,0,urgent,0,1,0,788,1,1,1,21-50,IL,0.3491310875471441,Zahavi steel ltd.
3,0,0,urgent,0,1,0,770,0,0,0,6-20,IL,0.14454469548347673,M.ash presicion mechanics
16,0,0,urgent,0,1,0,5314,1,1,1,50+,CN,0.10629889217684002,Hongding Photoelectric Technology
11,0,0,urgent,0,1,0,2184,1,1,1,6-20,IL,0.09508343878995125,P.D.R ELECTRONICS
15,0,0,urgent,0,1,0,5011,0,0,0,6-20,IL,0.08557108738532448,YAAF
5,0,0,urgent,0,1,1,788,1,1,1,21-50,IL,0.5359591822594122,Zahavi steel ltd.
3,0,0,urgent,0,1,1,770,0,0,0,6-20,IL,0.23365415400503767,M.ash presicion mechanics
11,0,0,urgent,0,1,1,2184,1,1,1,6-20,IL,0.16123643361412798,P.D.R ELECTRONICS
13,0,0,urgent,0,1,1,4753,1,1,0,6-20,IL,0.1432563026347558,Aloni engineering
20,0,0,urgent,0,1,1,15228,1,1,1,50+,TR,0.062416667408252885,Metalif Inc.
16,1,1,quick,1,0,0,5314,1,1,1,50+,CN,0.4672013902705277,Hongding Photoelectric Technology
5,1,1,quick,1,0,0,788,1,1,1,21-50,IL,0.3890624698458294,Zahavi steel ltd.
20,1,1,quick,1,0,0,15228,1,1,1,50+,TR,0.2259809618996361,Metalif Inc.
11,1,1,quick,1,0,0,2184,1,1,1,6-20,IL,0.19626043362695159,P.D.R ELECTRONICS
19,1,1,quick,1,0,0,15212,1,0,1,6-20,TR,0.18063164875104923,FGM TEKNİK
5,1,1,quick,1,0,1,788,1,1,1,21-50,IL,0.5782738792351821,Zahavi steel ltd.
16,1,1,quick,1,0,1,5314,1,1,1,50+,CN,0.3203540886804995,Hongding Photoelectric Technology
13,1,1,quick,1,0,1,4753,1,1,0,6-20,IL,0.31158532777524395,Aloni engineering
11,1,1,quick,1,0,1,2184,1,1,1,6-20,IL,0.3087858094159364,P.D.R ELECTRONICS
20,1,1,quick,1,0,1,15228,1,1,1,50+,TR,0.3016425700361906,Metalif Inc.
5,1,1,quick,1,1,0,788,1,1,1,21-50,IL,0.4686248240111674,Zahavi steel ltd.
16,1,1,quick,1,1,0,5314,1,1,1,50+,CN,0.46441155668905537,Hongding Photoelectric Technology
20,1,1,quick,1,1,0,15228,1,1,1,50+,TR,0.37456808440721784,Metalif Inc.
11,1,1,quick,1,1,0,2184,1,1,1,6-20,IL,0.26318885186121327,P.D.R ELECTRONICS
4,1,1,quick,1,1,0,774,1,1,1,21-50,IL,0.15654540875694012,R.Benes Metal Ltd.
5,1,1,quick,1,1,1,788,1,1,1,21-50,IL,0.6550428546628013,Zahavi steel ltd.
20,1,1,quick,1,1,1,15228,1,1,1,50+,TR,0.46978400144752963,Metalif Inc.
11,1,1,quick,1,1,1,2184,1,1,1,6-20,IL,0.3952183986308575,P.D.R ELECTRONICS
16,1,1,quick,1,1,1,5314,1,1,1,50+,CN,0.3179179057622207,Hongding Photoelectric Technology
35,1,1,quick,1,1,1,44404,1,1,1,6-20,IL,0.19795081296977224,4MODEL
16,1,1,quick,0,0,0,5314,1,1,1,50+,CN,0.3503888139470415,Hongding Photoelectric Technology
19,1,1,quick,0,0,0,15212,1,0,1,6-20,TR,0.32752293348258393,FGM TEKNİK
13,1,1,quick,0,0,0,4753,1,1,0,6-20,IL,0.29645023141661303,Aloni engineering
11,1,1,quick,0,0,0,2184,1,1,1,6-20,IL,0.22623610249270698,P.D.R ELECTRONICS
