req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,standard,1,0,0,[11-20),,FGM TEKNİK,15212,0.2562521618334914
0,1,standard,1,0,0,[11-20),,P.D.R ELECTRONICS,2184,0.24531683394910261
0,1,standard,1,0,1,[4-11),,Metalif Inc.,15228,0.5177811280800758
0,1,standard,1,0,1,[4-11),,Hongding Photoelectric Technology,5314,0.3590573205390951
0,1,standard,1,0,1,[4-11),,Zahavi steel ltd.,788,0.30918611872427443
0,1,standard,1,0,1,[4-11),,P.D.R ELECTRONICS,2184,0.2619886368438914
0,1,standard,1,0,1,[4-11),,Aloni engineering,4753,0.24286161891092606
0,1,standard,1,0,1,[1-4),,Zahavi steel ltd.,788,0.5140582375155591
0,1,standard,1,0,1,[1-4),,Metalif Inc.,15228,0.49866897757410333
0,1,standard,1,0,1,[1-4),,Hongding Photoelectric Technology,5314,0.3067514643790247
0,1,standard,1,0,1,[1-4),,P.D.R ELECTRONICS,2184,0.2566961880984952
0,1,standard,1,0,1,[1-4),,Aloni engineering,4753,0.24153357812328702
0,1,standard,1,0,1,>=20,,Metalif Inc.,15228,0.6610752044426879
0,1,standard,1,0,1,>=20,,Aloni engineering,4753,0.42036880342642563
0,1,standard,1,0,1,>=20,,P.D.R ELECTRONICS,2184,0.3387646335826856
0,1,standard,1,0,1,>=20,,Hongding Photoelectric Technology,5314,0.2839658316264304
0,1,standard,1,0,1,>=20,,Zahavi steel ltd.,788,0.26645079495847773
0,1,standard,1,0,1,[11-20),,Metalif Inc.,15228,0.5034401977701
0,1,standard,1,0,1,[11-20),,P.D.R ELECTRONICS,2184,0.3711153096132372
0,1,standard,1,0,1,[11-20),,Zahavi steel ltd.,788,0.34159549041346865
0,1,standard,1,0,1,[11-20),,Aloni engineering,4753,0.25647744815852913
0,1,standard,1,0,1,[11-20),,Hongding Photoelectric Technology,5314,0.2470113661698492
0,1,standard,1,1,0,[4-11),,Metalif Inc.,15228,0.6062458529492508
0,1,standard,1,1,0,[4-11),,Hongding Photoelectric Technology,5314,0.5084004761351516
0,1,standard,1,1,0,[4-11),,Zahavi steel ltd.,788,0.255734327446692
