req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,0,1,[1-4),[100-200),,FGM TEKNİK,15212,0.26022127
0,1,quick,1,0,1,[1-4),[100-200),,Aloni engineering,4753,0.22840585
0,1,quick,1,0,1,>=20,[10-30),,M.ash presicion mechanics,770,0.54643416
0,1,quick,1,0,1,>=20,[10-30),,Aloni engineering,4753,0.50022984
0,1,quick,1,0,1,>=20,[10-30),,Metalif Inc.,15228,0.4154072
0,1,quick,1,0,1,>=20,[10-30),,Shenzhen KG Model Co. Ltd,36004,0.29998872
0,1,quick,1,0,1,>=20,[10-30),,Zahavi steel ltd.,788,0.25965834
0,1,quick,1,0,1,>=20,[1-10),,M.ash presicion mechanics,770,0.5182017
0,1,quick,1,0,1,>=20,[1-10),,Aloni engineering,4753,0.5136173
0,1,quick,1,0,1,>=20,[1-10),,Metalif Inc.,15228,0.45539358
0,1,quick,1,0,1,>=20,[1-10),,Zahavi steel ltd.,788,0.41726762
0,1,quick,1,0,1,>=20,[1-10),,P.D.R ELECTRONICS,2184,0.338534
0,1,quick,1,0,1,>=20,[30-100),,P.D.R ELECTRONICS,2184,0.53359157
0,1,quick,1,0,1,>=20,[30-100),,Aloni engineering,4753,0.5022677
0,1,quick,1,0,1,>=20,[30-100),,Metalif Inc.,15228,0.40705854
0,1,quick,1,0,1,>=20,[30-100),,M.ash presicion mechanics,770,0.3885156
0,1,quick,1,0,1,>=20,[30-100),,Zahavi steel ltd.,788,0.31827062
0,1,quick,1,0,1,>=20,>=200,,Metalif Inc.,15228,0.6612409
0,1,quick,1,0,1,>=20,>=200,,P.D.R ELECTRONICS,2184,0.4882529
0,1,quick,1,0,1,>=20,>=200,,Aloni engineering,4753,0.4512826
0,1,quick,1,0,1,>=20,>=200,,Shenzhen KG Model Co. Ltd,36004,0.37574214
0,1,quick,1,0,1,>=20,>=200,,Zahavi steel ltd.,788,0.33489028
0,1,quick,1,0,1,>=20,[100-200),,Aloni engineering,4753,0.57042867
0,1,quick,1,0,1,>=20,[100-200),,Zahavi steel ltd.,788,0.34172148
0,1,quick,1,0,1,>=20,[100-200),,Shenzhen KG Model Co. Ltd,36004,0.27049306
0,1,quick,1,0,1,>=20,[100-200),,P.D.R ELECTRONICS,2184,0.25574112
0,1,quick,1,0,1,>=20,[100-200),,Hongding Photoelectric Technology,5314,0.19946302
0,1,quick,1,0,1,[11-20),[10-30),,Zahavi steel ltd.,788,0.37744814
0,1,quick,1,0,1,[11-20),[10-30),,P.D.R ELECTRONICS,2184,0.2839114
0,1,quick,1,0,1,[11-20),[10-30),,Metalif Inc.,15228,0.2682203
0,1,quick,1,0,1,[11-20),[10-30),,Aloni engineering,4753,0.22444716
0,1,quick,1,0,1,[11-20),[10-30),,Hongding Photoelectric Technology,5314,0.21201071
0,1,quick,1,0,1,[11-20),[1-10),,Zahavi steel ltd.,788,0.6216961
0,1,quick,1,0,1,[11-20),[1-10),,P.D.R ELECTRONICS,2184,0.38765535
0,1,quick,1,0,1,[11-20),[1-10),,Metalif Inc.,15228,0.34846473
0,1,quick,1,0,1,[11-20),[1-10),,Aloni engineering,4753,0.32866913
0,1,quick,1,0,1,[11-20),[1-10),,Hongding Photoelectric Technology,5314,0.2113472
0,1,quick,1,0,1,[11-20),[30-100),,Zahavi steel ltd.,788,0.53479475
0,1,quick,1,0,1,[11-20),[30-100),,P.D.R ELECTRONICS,2184,0.53455657
0,1,quick,1,0,1,[11-20),[30-100),,Metalif Inc.,15228,0.28105968
0,1,quick,1,0,1,[11-20),[30-100),,Hongding Photoelectric Technology,5314,0.24594864
0,1,quick,1,0,1,[11-20),[30-100),,Aloni engineering,4753,0.1619103
0,1,quick,1,0,1,[11-20),>=200,,P.D.R ELECTRONICS,2184,0.5399382
0,1,quick,1,0,1,[11-20),>=200,,Metalif Inc.,15228,0.5341508
0,1,quick,1,0,1,[11-20),>=200,,Zahavi steel ltd.,788,0.4934883
0,1,quick,1,0,1,[11-20),>=200,,Hongding Photoelectric Technology,5314,0.35589924
0,1,quick,1,0,1,[11-20),>=200,,Shenzhen KG Model Co. Ltd,36004,0.28774947
0,1,quick,1,0,1,[11-20),[100-200),,Zahavi steel ltd.,788,0.58017737
0,1,quick,1,0,1,[11-20),[100-200),,P.D.R ELECTRONICS,2184,0.3804856
0,1,quick,1,0,1,[11-20),[100-200),,Aloni engineering,4753,0.26484916
0,1,quick,1,0,1,[11-20),[100-200),,Hongding Photoelectric Technology,5314,0.25432572
0,1,quick,1,0,1,[11-20),[100-200),,Shenzhen KG Model Co. Ltd,36004,0.20668882
0,1,quick,1,1,0,[4-11),[10-30),,M.ash presicion mechanics,770,0.70064664
0,1,quick,1,1,0,[4-11),[10-30),,Hongding Photoelectric Technology,5314,0.5238324
0,1,quick,1,1,0,[4-11),[10-30),,Metalif Inc.,15228,0.4668388
0,1,quick,1,1,0,[4-11),[10-30),,R.Benes Metal Ltd.,774,0.32125106
0,1,quick,1,1,0,[4-11),[10-30),,Zahavi steel ltd.,788,0.15647684
0,1,quick,1,1,0,[4-11),[1-10),,M.ash presicion mechanics,770,0.5801117
0,1,quick,1,1,0,[4-11),[1-10),,Hongding Photoelectric Technology,5314,0.51466393
0,1,quick,1,1,0,[4-11),[1-10),,Metalif Inc.,15228,0.49663225
0,1,quick,1,1,0,[4-11),[1-10),,R.Benes Metal Ltd.,774,0.3458488
0,1,quick,1,1,0,[4-11),[1-10),,Zahavi steel ltd.,788,0.21787517
0,1,quick,1,1,0,[4-11),[30-100),,M.ash presicion mechanics,770,0.5511312
0,1,quick,1,1,0,[4-11),[30-100),,Metalif Inc.,15228,0.5089469
0,1,quick,1,1,0,[4-11),[30-100),,Hongding Photoelectric Technology,5314,0.46966094
0,1,quick,1,1,0,[4-11),[30-100),,P.D.R ELECTRONICS,2184,0.32522255
0,1,quick,1,1,0,[4-11),[30-100),,Zahavi steel ltd.,788,0.20687442
0,1,quick,1,1,0,[4-11),>=200,,Metalif Inc.,15228,0.632623
0,1,quick,1,1,0,[4-11),>=200,,Hongding Photoelectric Technology,5314,0.5790734
0,1,quick,1,1,0,[4-11),>=200,,P.D.R ELECTRONICS,2184,0.2922577
0,1,quick,1,1,0,[4-11),>=200,,M.ash presicion mechanics,770,0.21651156
0,1,quick,1,1,0,[4-11),>=200,,GS ELECTRONIC PACKAGING,7490,0.20387554
0,1,quick,1,1,0,[4-11),[100-200),,Hongding Photoelectric Technology,5314,0.5244422
0,1,quick,1,1,0,[4-11),[100-200),,N.B.T. Sharpening & Machining Ltd.,742,0.4888941
0,1,quick,1,1,0,[4-11),[100-200),,Zahavi steel ltd.,788,0.24194275
0,1,quick,1,1,0,[4-11),[100-200),,FGM TEKNİK,15212,0.20842066
0,1,quick,1,1,0,[4-11),[100-200),,P.D.R ELECTRONICS,2184,0.14049874
0,1,quick,1,1,0,[1-4),[10-30),,Metalif Inc.,15228,0.45003152
0,1,quick,1,1,0,[1-4),[10-30),,Hongding Photoelectric Technology,5314,0.43522987
0,1,quick,1,1,0,[1-4),[10-30),,M.ash presicion mechanics,770,0.2553624
0,1,quick,1,1,0,[1-4),[10-30),,P.D.R ELECTRONICS,2184,0.2272523
0,1,quick,1,1,0,[1-4),[10-30),,Zahavi steel ltd.,788,0.20516631
0,1,quick,1,1,0,[1-4),[1-10),,Metalif Inc.,15228,0.51351684
0,1,quick,1,1,0,[1-4),[1-10),,Zahavi steel ltd.,788,0.38019094
0,1,quick,1,1,0,[1-4),[1-10),,Hongding Photoelectric Technology,5314,0.34328845
0,1,quick,1,1,0,[1-4),[1-10),,R.Benes Metal Ltd.,774,0.23474126
0,1,quick,1,1,0,[1-4),[1-10),,FGM TEKNİK,15212,0.21849348
0,1,quick,1,1,0,[1-4),[30-100),,Metalif Inc.,15228,0.5218992
0,1,quick,1,1,0,[1-4),[30-100),,P.D.R ELECTRONICS,2184,0.34578288
0,1,quick,1,1,0,[1-4),[30-100),,Hongding Photoelectric Technology,5314,0.3439243
0,1,quick,1,1,0,[1-4),[30-100),,FGM TEKNİK,15212,0.27645874
0,1,quick,1,1,0,[1-4),[30-100),,Zahavi steel ltd.,788,0.27200526
0,1,quick,1,1,0,[1-4),>=200,,Hongding Photoelectric Technology,5314,0.5550736
0,1,quick,1,1,0,[1-4),>=200,,Metalif Inc.,15228,0.54392815
0,1,quick,1,1,0,[1-4),>=200,,P.D.R ELECTRONICS,2184,0.46238992
0,1,quick,1,1,0,[1-4),>=200,,GS ELECTRONIC PACKAGING,7490,0.35366124
0,1,quick,1,1,0,[1-4),>=200,,Zahavi steel ltd.,788,0.307252
0,1,quick,1,1,0,[1-4),[100-200),,Hongding Photoelectric Technology,5314,0.4656684
0,1,quick,1,1,0,[1-4),[100-200),,N.B.T. Sharpening & Machining Ltd.,742,0.4453665
0,1,quick,1,1,0,[1-4),[100-200),,FGM TEKNİK,15212,0.35905656
0,1,quick,1,1,0,[1-4),[100-200),,P.D.R ELECTRONICS,2184,0.31290558
0,1,quick,1,1,0,[1-4),[100-200),,GS ELECTRONIC PACKAGING,7490,0.31281686
0,1,quick,1,1,0,>=20,[10-30),,M.ash presicion mechanics,770,0.6889301
0,1,quick,1,1,0,>=20,[10-30),,Metalif Inc.,15228,0.58625567
0,1,quick,1,1,0,>=20,[10-30),,Hongding Photoelectric Technology,5314,0.33011058
0,1,quick,1,1,0,>=20,[10-30),,P.D.R ELECTRONICS,2184,0.2529094
0,1,quick,1,1,0,>=20,[10-30),,R.Benes Metal Ltd.,774,0.22252978
0,1,quick,1,1,0,>=20,[1-10),,M.ash presicion mechanics,770,0.6710029
0,1,quick,1,1,0,>=20,[1-10),,Metalif Inc.,15228,0.5784925
0,1,quick,1,1,0,>=20,[1-10),,P.D.R ELECTRONICS,2184,0.34277683
0,1,quick,1,1,0,>=20,[1-10),,Aloni engineering,4753,0.28682342
0,1,quick,1,1,0,>=20,[1-10),,R.Benes Metal Ltd.,774,0.27685165
0,1,quick,1,1,0,>=20,[30-100),,M.ash presicion mechanics,770,0.6592925
0,1,quick,1,1,0,>=20,[30-100),,Metalif Inc.,15228,0.5922671
0,1,quick,1,1,0,>=20,[30-100),,P.D.R ELECTRONICS,2184,0.5367222
0,1,quick,1,1,0,>=20,[30-100),,Hongding Photoelectric Technology,5314,0.24776325
